date,granule_id,title,type,text
not want to guarantee that only citizens vote. It is that simple.

                              {time}  1130

  Mr. Speaker, we will deal with stock trading. I am one of the lead 
sponsors of that legislation. We will get it done but not as a 
substitute for what 80 percent of American people want, which is to 
guarantee only citizens vote and that they show up with a voter 
identification.
  Mr. Speaker, I yield 2 minutes to the gentleman from Arizona (Mr. 
Biggs).
  Mr. BIGGS of Arizona. Mr. Speaker, I thank my friend from Texas, Mr. 
Roy, for yielding 2 minutes to me.
  Mr. Speaker, I will say this. This is really humorous to hear the 
machinations and the twisting and goings-on from our friends across the 
aisle. As they say, this is too much.
  Mr. Schumer denigrated Black people and basically said they can't get 
the IDs. Kamala Harris said rural folks can't get IDs. It is just too 
hard. That is BS. They know it is BS. The American people know it is 
BS. It is exactly why 85 percent of Americans say we need to do this.
  Let me just say that I come from a State that is the most unique 
State in the country because we have been, for years, requiring proof 
of citizenship when a person registers for a State ballot. We have to 
do that in Arizona, and we have had no suppression. We are the only 
State that does it because the Supreme Court ruled that way. Somehow, 
we can't do it for Federal ballots?
  Mr. Speaker, think about that. For an alderman or legislator in 
Arizona, we have to show proof of citizenship to register to vote. We 
can't do it for the President, though. How absurd is that?
  We have had no problems. There has been no voter suppression. They 
want to make it an issue because they don't want that proof, and we 
need to have that proof. Every rational American knows it is not 
suppression. It is common sense. That is why we need to show ID when we 
vote. It is popular in Arizona. It is popular across the country.
  We need to show our citizenship when we register to vote. That is 
what has to happen in Arizona. It will work across the country. There 
is not a doubt in my mind, and I urge passage of this bill.
  Mr. McGOVERN. Mr. Speaker, I yield myself such time as I may consume.
  Let's talk about common sense for a second. When the gentleman from 
Texas introduced this bill, the effective date was in 2027. All of a 
sudden, because, I think, a right-winger on their side did a tweet that 
caused all kinds of chaos, they moved for it to take effect 
immediately, notwithstanding the fact we have primaries beginning in 
some States in a matter of just a few weeks.
  I would just point out to the gentleman who just spoke that we have 
this thing called a Real ID. For 20 years, we have been trying to 
implement it. We spent billions of dollars trying to implement it and 
still not everybody has it. It has taken 20 years. My colleagues are 
pushing all these new changes on States. They have to do it in a matter 
of a couple of weeks?
  We all know what this is about. We all know what this is about. 
People see through this. This is not about protecting our democracy. It 
is not about preventing undocumented immigrants from voting. That is 
already illegal in this country. This is about sowing confusion and 
chaos because they know they are going to lose the next election. What 
an underhanded way to deal with elections in our democracy. What an 
insult to the American people.
  Mr. Speaker, I yield 2 minutes to the gentlewoman from California 
(Ms. Simon).
  Ms. SIMON. Mr. Speaker, I thank the ranking member for yielding time.
  Mr. Speaker, this bill doesn't secure elections. It shrinks the 
electorate. I find it so interesting that in real time we are having 
this conversation. When we talk about Black voters, we are going to 
talk about Black voters.

[[Page H2125]]

  This bill was written so poorly it doesn't even take into 
consideration women of all races who changed their names when they got 
married. It is ridiculous.
  It has been a Federal crime, we know, for noncitizens to vote since 
1996. Georgia audited 8.2 million voter registrations and found 20 
noncitizens, Mr. Speaker, 20. That is the emergency. That is the 
emergency that justifies blocking 21 million American citizens who 
don't have the papers to fill what this bill demands. We all know the 
history.
  Darnella Cavaness, my grandmother from Malvern, Arkansas, had to face 
the poll tax. After Reconstruction, nobody wrote the word ``race'' into 
a single suppression statute. They wrote poll taxes. They wrote 
literacy tests, good character clauses. It was all race neutral on 
paper but devastating in practice.
  The SAVE America Act sits in that tradition. I will say it again. The 
SAVE America Act sits in that tradition.
  I have a 14-year-old daughter. I won't stand here and make voting 
harder for her when she decides to register to vote.
  Mr. Speaker, my colleagues on the other side of the aisle don't get 
to shrink the franchise. I urge a strong ``no'' from all of our 
colleagues who believe in a democracy that we were all promised.
  Mr. ROY. Mr. Speaker, I yield 2 minutes to the gentleman from Alabama 
(Mr. Palmer).
  Mr. PALMER. Mr. Speaker, I rise today in support of this rule and the 
SAVE America Act. This essential legislation would require, as we have 
said previously, proof of citizenship when registering to vote and the 
presentation of a valid ID when at the ballot box. Currently, only 13 
States do not require any form of voter ID. Having this requirement 
should be the standard and not the exception.
  My Democratic colleagues claim that requiring a photo ID to vote is 
too burdensome. Some say it is too difficult for rural Americans and 
will lead to voter suppression. I grew up in rural America.
  The reality is that Americans use photo IDs every day to carry out 
basic tasks like opening a bank account, boarding a flight, checking 
into a hotel, renting a car, or applying for a business license.
  Americans use photo IDs to buy alcohol, tobacco, or nicotine 
products. They use it to sign a lease or rental agreement. It is also 
used to get a marriage license, purchase firearms or ammunition, check 
in for jury duty, or enroll in a college or university. Purchasing 
insurance or donating blood requires a photo ID.
  I hope that people who don't have a photo ID don't get sick because 
they need a photo ID to purchase things like Sudafed, NyQuil, and 
Mucinex D. I hope they don't have to pick up a package at the post 
office because we have to have a photo ID to pick up a package at the 
post office.
  If we require a photo ID to prevent fraud in these areas I just 
mentioned, why are my colleagues so opposed to preventing fraud in 
elections? It is hard to argue that a photo ID is too much to ask for 
in voting when Americans already use it routinely for far less 
important activities.
  Mr. Speaker, protecting election integrity should be a priority. I 
urge my colleagues to support this rule and the underlying SAVE America 
Act to secure our elections.
  Mr. ROY. Mr. Speaker, may I inquire as to how much time is remaining.
  The SPEAKER pro tempore. The gentleman from Texas has 18\1/2\ minutes 
remaining. The gentleman from Massachusetts has 15\1/2\ minutes 
remaining.
  Mr. McGOVERN. Mr. Speaker, I ask unanimous consent to include in the 
Record an article from ``ABC News'' titled: ``Election Fact Check: 
Noncitizens Can't Vote, and Instances Are `Vanishingly Rare.' ''
  The SPEAKER pro tempore. Is there objection to the request of the 
gentleman from Massachusetts?
  There was no objection.

                     [From ABC News, Oct. 28, 2024]

    Election Fact Check: Noncitizens Can't Vote, and Instances Are 
                           `Vanishingly Rare'

                        (By Peter Charalambous)

       Former President Donald Trump and Republican leaders across 
     the country have for months characterized the alleged scourge 
     of noncitizen voting as a pressing threat to a free and fair 
     election, using heated rhetoric to suggest that widespread 
     illegal voting could tilt the scales toward Democrats in 
     November.
       But a spate of GOP-led inquiries in the weeks leading up to 
     Election Day tell a different story, one that experts have 
     long insisted is true: Noncitizen voting is extraordinarily 
     rare.
       Recent audits of voter rolls in states including Georgia, 
     Ohio, and Iowa uncovered instances of noncitizen voting that 
     overall amounted to only a tiny fraction of the states' 
     overall number of registered voters.
       A comprehensive audit of Georgia's voter rolls--which 
     include 8.2 million registered voters uncovered 20 
     noncitizens who registered to vote, including nine instances 
     when noncitizens actually cast a ballot. A similar audit of 
     Iowa's 2.3 million voters revealed 87 instances where 
     individuals cast ballots and later self-reported as 
     noncitizens.
       In Ohio, the state's attorney general, Dave Yost, recently 
     announced indictments against six alleged noncitizens who had 
     voted in a national election, after Ohio Secretary of State 
     Frank LaRose identified 597 alleged noncitizens who had 
     registered to vote in the state. Each of the six defendants 
     were lawful residents but lacked citizenship when they voted.
       ``Irregularities like this are rare, and this is a small 
     number of cases,'' Yost said on Tuesday. ``We should all be 
     confident in the upcoming election, knowing that the laws are 
     being enforced and will continue to be enforced.''
       The nationwide push to root out noncitizen voting comes as 
     Trump has made noncitizen voting a key part of his campaign 
     message, telling his supporters that undocumented immigrants 
     are set to vote in record numbers during the upcoming 
     presidential election.
       ``Our elections are bad,'' Trump said at the ABC News 
     presidential debate in September. ``And a lot of these 
     illegal immigrants coming in, they're trying to get them to 
     vote. They can't even speak English, they don't know even 
     know what country they're in practically, and these people 
     are trying to get them to vote, and that's why they're 
     allowing them to come into our country.''
       But with noncitizen voting in national elections already 
     illegal and rare, critics have pointed to Trump's rhetoric 
     and the national focus on noncitizen voting as an attempt to 
     intentionally sow distrust and lay the potential groundwork 
     for litigation to challenge the results of the election.
       ``It amounts to a vanishingly rare phenomenon that is not 
     going to impact the outcome of our elections in any real way, 
     and where the people who actually are violating the law are 
     held accountable,'' said Sean Morales-Doyle, a voting rights 
     expert at the Brennan Center for Justice, a nonprofit think 
     tank. ``Both domestic and foreign folks are spreading these 
     lies in order to undermine faith in American elections--some 
     of them with the hope of overturning the result if they're 
     not happy about it.''
       Across a sample of 23.5 million votes cast in 42 
     jurisdictions during the 2016 election, election officials 
     identified 30 incidents of suspected noncitizen voting that 
     were referred for further investigation, comprising 0.0001% 
     of the total votes cast, according to a 2017 Brennan Center 
     study. When Georgia audited its voter rolls in 2022, election 
     officials were unable to identify a single instance of a 
     noncitizen casting a ballot during an election.
       Noncitizens are prohibited from voting in federal elections 
     by a 1996 law that penalizes offenders with heavy fines, up 
     to one year in prison, and deportation, which Morales-Doyle 
     says further disincentives the crime.
       ``The payoff is casting one ballot in one election,'' 
     Morales-Doyle said. ``It is just mind-boggling to think that 
